Year,Name,AcresBurned,Fire Size Rank,Cause,SOURCE_REPORTING_UNIT_NAME,DaysBurn,Discovery Month,Discovered DOY,Contained Month,Contained DOY,Latitude,Longitude,County,CountyIds,State,OWNER_DESCR,NOAA Station
2017,Lion Fire,18900.0,G,,,261.0,Sep,,Jan,9.0,36.27138,-118.48555,Tulare,54,CA,,USW00093104
2017,R-4 Fire,18618.0,G,,,233.0,Aug,,Jan,9.0,40.69573,-119.93499,Lassen,18,CA,,USW00024172
2017,Whittier Fire,18430.0,G,,,180.0,Jul,,Jan,9.0,34.55096,-119.9494,Santa Barbara,42,CA,,USW00023190
2017,Pocket Fire (Central LNU Complex),17357.0,G,,,242.0,Oct,,Feb,40.0,38.76549,-122.90939,Sonoma,49,CA,,USW00023213
2017,Schaeffer Fire,16031.0,G,,,166.0,Jun,,Jan,9.0,0.0,0.0,Tulare,54,CA,,USW00023154
2017,Creek Fire,15619.0,G,,,121.0,Dec,,Aug,218.0,34.31283,-118.35863,Los Angeles,19,CA,,USW00023152
2017,Buck Fire,13417.0,G,,,246.0,Sep,,Jan,9.0,40.2275,-123.03583,Trinity,53,CA,,USW00024216
2017,Railroad Fire,12407.0,G,,,232.0,Aug,,Jan,9.0,37.44663,-119.64622,Madera,20,CA,,USW00093242
2017,Elm Fire,10343.0,G,,,129.0,May,,Jan,9.0,36.12089,-120.37116,Fresno,10,CA,,USW00023110
2017,Cascade Fire (Wind Complex),9989.0,G,,,241.0,Oct,,Feb,40.0,39.32198,-121.4021,Yuba,58,CA,,USW00093205
2017,Canyon 2 Fire,9217.0,G,,,187.0,Oct,,Apr,95.0,33.87041,-117.70975,Orange,30,CA,,USW00003179
2017,Slinkard Fire,8925.0,G,,,232.0,Aug,,Jan,9.0,38.655,-119.55425,Mono,26,CA,,USW00093230
2017,Cherokee Fire,8417.0,G,,,241.0,Oct,,Feb,40.0,39.62496,-121.52966,Butte,4,CA,,USW00093205
2017,Empire Fire,8094.0,G,,,204.0,Aug,,Jan,9.0,37.644,-119.618,Mariposa,22,CA,,USW00093242
2017,Parker 2 Fire,7697.0,G,,,206.0,Aug,,Jan,9.0,41.466,-120.321,Modoc,25,CA,,USW00024257
2017,La Tuna Fire ,7194.0,G,,,235.0,Sep,,Jan,9.0,34.22957,-118.2674,Los Angeles,19,CA,,USW00023152
2017,South Fork Fire,7000.0,G,,,217.0,Aug,,Jan,9.0,37.538,-119.598,Mariposa,22,CA,,USW00093242
2017,Manzanita Fire,6309.0,G,,,168.0,Jun,,Jan,9.0,33.530045,-116.594422,Riverside,33,CA,,USW00093138
