,AcresBurned,AWND,CLDD,DP10,DX90,PRCP,TAVG,TMAX,TMIN,PRCP_6M,PRCP_RS,DX90_2M,DP10_2M,Receives Snow,Mar_SP,Mar_WC,Mar_Dens,Elevation,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
94,30.0,8.1,421.0,0.0,27.0,0.0,78.5,98.2,58.9,9.36,9.64,20.0,0.0,0,0.0,0.0,0.0,1007.2056,0,0,0,0,0,1,0,0,0,0,0,0
95,30.0,4.7,0.0,9.0,0.0,6.67,49.5,57.1,41.8,11.05,39.17999999999999,0.0,16.0,0,0.0,0.0,0.0,3270.9576,0,0,0,0,1,0,0,0,0,0,0,0
96,47.0,6.0,79.0,0.0,0.0,0.06,63.9,71.9,55.9,27.24,64.73,1.0,0.0,1,47.0,20.0,0.43,2457.3192,0,0,0,0,0,0,0,0,0,0,0,1
97,8417.0,6.0,31.0,1.0,0.0,0.36,63.3,80.3,46.2,2.98,27.78,42.0,0.0,0,0.0,0.0,0.0,1404.1824,0,0,0,0,0,0,0,0,0,0,1,0
98,214.0,6.0,235.0,0.0,8.0,0.0,72.8,85.8,59.9,11.22,12.66,3.0,1.0,0,0.0,0.0,0.0,2588.5512000000003,0,0,0,0,0,0,1,0,0,0,0,0
99,12300.0,9.4,310.0,0.0,23.0,0.0,75.3,94.4,56.2,8.31,9.1,5.0,4.0,0,0.0,0.0,0.0,255.9024,0,0,0,0,0,0,1,0,0,0,0,0
100,137.0,6.9,23.0,0.0,3.0,0.0,61.9,80.6,43.2,2.24,6.34,45.0,0.0,1,90.5,44.0,0.49,4009.1376,0,0,0,0,0,0,0,0,0,0,1,0
101,150.0,8.1,214.0,1.0,12.0,0.12,71.0,84.0,57.9,16.42,17.09,0.0,6.0,1,73.5,37.5,0.51,393.696,0,0,0,0,0,0,0,0,1,0,0,0
102,255.0,5.4,360.0,0.0,25.0,0.01,76.6,92.2,61.0,15.71,21.59,16.0,2.0,0,0.0,0.0,0.0,3612.1608,0,0,0,0,0,1,0,0,0,0,0,0
103,2575.0,6.0,79.0,0.0,0.0,0.06,63.9,71.9,55.9,27.24,64.73,1.0,0.0,1,47.0,20.0,0.43,4753.8792,0,0,0,0,0,0,0,0,0,0,0,1
104,2860.0,6.3,0.0,0.0,0.0,0.11,56.6,63.6,49.6,48.41,54.17,0.0,11.0,1,50.5,29.5,0.58,5013.0624,0,0,0,0,0,0,1,0,0,0,0,0
105,28.0,6.5,0.0,3.0,0.0,0.72,55.4,61.6,49.2,50.16,68.14000000000001,0.0,20.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0
106,150.0,8.1,53.0,0.0,6.0,0.0,64.3,80.4,48.3,8.03,8.09,3.0,4.0,0,0.0,0.0,0.0,1210.6152,0,0,0,0,0,0,0,0,1,0,0,0
107,35.0,4.9,37.0,0.0,3.0,0.0,62.4,78.7,46.2,2.1,15.2,26.0,1.0,0,0.0,0.0,0.0,1272.9504000000002,0,0,0,0,0,0,0,0,0,0,1,0
