,Fire Size Rank,AWND,CLDD,DP10,DX90,PRCP,TAVG,TMAX,TMIN,PRCP_6M,PRCP_RS,DX90_2M,DP10_2M,Receives Snow,Mar_SP,Mar_WC,Mar_Dens,Elevation,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
113,Medium,5.1,198.0,0.0,14.0,0.0,71.4,87.4,55.3,6.49,15.82,36.0,0.0,1,1.0,0.5,0.5,1181.088,0,0,0,0,0,0,0,0,0,0,0,1
114,Medium,6.9,237.0,0.0,23.0,0.0,72.6,92.6,52.6,2.52,8.09,43.0,0.0,0,0.0,0.0,0.0,1742.1048,0,1,0,0,0,0,0,0,0,0,0,0
115,Medium,5.4,442.0,0.0,21.0,0.0,79.3,93.2,65.3,6.050000000000001,6.48,15.0,1.0,0,0.0,0.0,0.0,1797.8784,0,0,0,0,0,1,0,0,0,0,0,0
116,Medium,7.6,429.0,2.0,21.0,1.27,79.2,93.8,64.6,21.340000000000003,22.200000000000003,11.0,5.0,1,50.5,29.5,0.58,521.6472,0,0,0,0,0,0,1,0,0,0,0,0
117,Medium,5.1,198.0,0.0,14.0,0.0,71.4,87.4,55.3,6.49,15.82,36.0,0.0,0,0.0,0.0,0.0,219.8136,0,0,0,0,0,0,0,0,0,0,0,1
118,Medium,10.5,272.0,0.0,14.0,0.0,73.8,89.7,57.8,11.87,15.23,21.0,1.0,0,0.0,0.0,0.0,656.1600000000001,0,0,0,0,0,1,0,0,0,0,0,0
119,Medium,6.0,79.0,0.0,0.0,0.06,63.9,71.9,55.9,27.24,64.73,1.0,0.0,1,72.0,31.5,0.44,7440.8544,0,0,0,0,0,0,0,0,0,0,0,1
120,Medium,7.8,589.0,0.0,30.0,0.0,84.0,100.0,68.0,9.11,13.97,31.0,1.0,1,94.0,40.5,0.43,3697.4616,0,0,0,0,0,1,0,0,0,0,0,0
121,Medium,4.3,273.0,0.0,24.0,0.0,73.8,93.5,54.0,13.539999999999996,35.709999999999994,34.0,2.0,0,0.0,0.0,0.0,1587.9072,0,1,0,0,0,0,0,0,0,0,0,0
122,Medium,6.5,324.0,0.0,26.0,0.0,75.5,93.8,57.1,8.9,21.27,43.0,0.0,0,0.0,0.0,0.0,564.2976,0,1,0,0,0,0,0,0,0,0,0,0
123,Medium,4.3,177.0,0.0,0.0,0.0,70.7,75.1,66.4,2.06,7.09,0.0,0.0,0,0.0,0.0,0.0,616.7904,0,1,0,0,0,0,0,0,0,0,0,0
124,Medium,4.7,530.0,0.0,31.0,0.0,82.1,99.5,64.7,17.94,37.07,48.0,3.0,1,50.5,29.5,0.58,948.1512,0,1,0,0,0,0,0,0,0,0,0,0
125,Medium,8.3,492.0,0.0,29.0,0.0,80.9,97.4,64.3,11.21,15.37,32.0,1.0,1,1.0,0.5,0.5,912.0624,0,0,0,0,0,1,0,0,0,0,0,0
126,Medium,8.9,312.0,0.0,21.0,0.0,75.3,93.4,57.3,14.59,16.340000000000003,8.0,6.0,1,1.0,0.5,0.5,351.04560000000004,0,0,0,0,0,0,1,0,0,0,0,0
127,Medium,5.1,329.0,0.0,21.0,0.0,75.9,92.4,59.4,17.03,37.07,58.0,0.0,1,77.0,34.0,0.44,3077.3904,0,0,0,0,0,0,0,0,0,0,0,1
128,Medium,8.3,492.0,0.0,29.0,0.0,80.9,97.4,64.3,11.21,15.37,32.0,1.0,1,1.0,0.5,0.5,203.4096,0,0,0,0,0,1,0,0,0,0,0,0
129,Medium,6.7,279.0,0.0,18.0,0.0,74.2,90.8,57.6,14.51,15.82,8.0,5.0,0,0.0,0.0,0.0,177.16320000000002,0,0,0,0,0,0,1,0,0,0,0,0
130,Medium,6.7,327.0,0.0,20.0,0.0,75.9,91.7,60.0,9.28,22.200000000000003,56.0,0.0,0,0.0,0.0,0.0,1082.664,0,0,0,0,0,0,0,0,0,0,0,1
131,Medium,7.6,454.0,0.0,31.0,0.0,79.6,102.1,57.2,3.0800000000000005,3.04,29.0,3.0,1,36.0,7.5,0.21,5268.964800000001,0,0,0,0,0,1,0,0,0,0,0,0
132,Medium,9.4,6.0,0.0,0.0,0.03,62.4,71.6,53.2,10.5,13.34,1.0,2.0,0,0.0,0.0,0.0,551.1744,0,0,0,0,0,0,1,0,0,0,0,0
133,Medium,6.5,154.0,2.0,9.0,0.4,69.1,83.6,54.7,19.83,20.0,0.0,14.0,0,0.0,0.0,0.0,433.0656,0,0,0,0,0,0,0,0,1,0,0,0
134,Medium,7.8,51.0,3.0,0.0,1.57,64.9,77.1,52.7,13.8,15.37,0.0,9.0,0,0.0,0.0,0.0,200.1288,1,0,0,0,0,0,0,0,0,0,0,0
135,Medium,3.6,56.0,4.0,2.0,1.06,63.6,73.2,54.0,0.72,7.09,2.0,1.0,0,0.0,0.0,0.0,646.3176000000001,0,0,0,0,0,0,0,0,0,1,0,0
